playlist_url,video_id,title,url,duration_seconds,is_short_tag,has_captions
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,UyO3KQ3F0gc,How to Survive a Hot Dog Eating Contest,https://www.youtube.com/watch?v=UyO3KQ3F0gc,328,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,jY25lOSaQp8,How to Survive a Nuclear Meltdown,https://www.youtube.com/watch?v=jY25lOSaQp8,350,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,aBZXq1i9nb8,Top 5 Basic Survival Skills,https://www.youtube.com/watch?v=aBZXq1i9nb8,474,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,QcESC58WUdI,How to Survive the Top 5 Most Painful Things,https://www.youtube.com/watch?v=QcESC58WUdI,343,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,MqYJar6-LhQ,How to Survive Eating Bad Sushi,https://www.youtube.com/watch?v=MqYJar6-LhQ,413,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,FHURG7vBdkk,How to Survive Hypothermia,https://www.youtube.com/watch?v=FHURG7vBdkk,330,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,pJHVSACxW50,How To Survive the Top 5 Deadliest Foods,https://www.youtube.com/watch?v=pJHVSACxW50,345,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,KI4fz2FKVj4,Top 5 People Who Survived the Impossible,https://www.youtube.com/watch?v=KI4fz2FKVj4,518,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,Ft4xwDvtUKw,How to Survive Eating Raw Meat,https://www.youtube.com/watch?v=Ft4xwDvtUKw,281,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,0Quqyq1r1Pw,The Top 5 Worst Survival Mistakes,https://www.youtube.com/watch?v=0Quqyq1r1Pw,410,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,qd89quQ6YyA,How To Survive Being Pregnant,https://www.youtube.com/watch?v=qd89quQ6YyA,278,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,vgPSadFXKYM,How to Survive the Corpse Flower,https://www.youtube.com/watch?v=vgPSadFXKYM,318,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,9ZiCnhN1vOU,How to Survive Only on Water for a Week,https://www.youtube.com/watch?v=9ZiCnhN1vOU,288,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,U96gp6PDrFQ,How to Survive Salmonella,https://www.youtube.com/watch?v=U96gp6PDrFQ,305,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,vqem4jTrOqE,How to Survive a Brain-Eating Amoeba,https://www.youtube.com/watch?v=vqem4jTrOqE,268,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,aSlfdIfkz1w,The Worst Things To Do When You Have Lice,https://www.youtube.com/watch?v=aSlfdIfkz1w,278,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,KMUJXnaH-_g,How to Survive The 7 Most Dangerous Childbirth Complications,https://www.youtube.com/watch?v=KMUJXnaH-_g,533,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,WkLOMfJKZ1o,How to Survive Giving Birth on an Airplane,https://www.youtube.com/watch?v=WkLOMfJKZ1o,298,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,tv663vNPUZo,The Black Market of Butt Injections,https://www.youtube.com/watch?v=tv663vNPUZo,351,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,ZHpnVVoegQI,What Happens When Humans Get Rabies?,https://www.youtube.com/watch?v=ZHpnVVoegQI,290,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,HNd7ERHxHmY,Household Items That Could Save You in a Nuclear War,https://www.youtube.com/watch?v=HNd7ERHxHmY,426,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,FMXSjyZTN98,7 Things You Should Never Do During Sleep Paralysis,https://www.youtube.com/watch?v=FMXSjyZTN98,486,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,7uBk3_rWYfM,How Long Could You Survive Ebola?,https://www.youtube.com/watch?v=7uBk3_rWYfM,570,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOn-ioDWMw5-92PsbPi-MHSH,FfCRL7TPfyE,How Long Could You Survive Mpox (Monkeypox)?,https://www.youtube.com/watch?v=FfCRL7TPfyE,583,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,z1mWUgwX8qU,The Deadliest Tsunamis In Human History,https://www.youtube.com/watch?v=z1mWUgwX8qU,788,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,SKLw1ybEBW8,The Deadliest Earthquake In Human History,https://www.youtube.com/watch?v=SKLw1ybEBW8,978,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,35KYjg7irqw,How Big Can a Tornado Actually Get?,https://www.youtube.com/watch?v=35KYjg7irqw,1447,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,PSMXZPjJwAw,How to Survive a Tsunami,https://www.youtube.com/watch?v=PSMXZPjJwAw,267,FALSE,FALSE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,n_n2yx2zGac,How to Survive in the Bermuda Triangle,https://www.youtube.com/watch?v=n_n2yx2zGac,369,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,87WyE3dmWWk,People Who Survived Falling Into Quicksand,https://www.youtube.com/watch?v=87WyE3dmWWk,398,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,5uxXkK99ADU,How to Survive a Collapsing Sand Dune,https://www.youtube.com/watch?v=5uxXkK99ADU,259,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,G9vrKfFF29s,Nature's Deadliest Hurricanes: Size Comparison,https://www.youtube.com/watch?v=G9vrKfFF29s,727,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,4r08wJs9kHY,How to Survive: The Safest Places to Hide During an Undead Apocalypse,https://www.youtube.com/watch?v=4r08wJs9kHY,494,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,EaQ26yFAeKs,How to Survive Your House Being Swallowed by a Sinkhole,https://www.youtube.com/watch?v=EaQ26yFAeKs,363,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,CbrzBnqUPlU,How to Survive a Cave Collapse,https://www.youtube.com/watch?v=CbrzBnqUPlU,343,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,FxEM0auDXU4,How to Survive a Collapsing Building,https://www.youtube.com/watch?v=FxEM0auDXU4,328,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,ixQUyXK6yPk,How to Survive 24 Hours in Death Valley,https://www.youtube.com/watch?v=ixQUyXK6yPk,320,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,md-vq7Lh9gg,How to Survive Falling Into the Door to Hell,https://www.youtube.com/watch?v=md-vq7Lh9gg,344,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,ypbPzX5eQss,How to Survive a Wildfire,https://www.youtube.com/watch?v=ypbPzX5eQss,328,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,9U0uvqPxSFs,How to Survive a Limnic Eruption,https://www.youtube.com/watch?v=9U0uvqPxSFs,287,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,0vp3c3eOPuQ,How to Survive a Dam Break,https://www.youtube.com/watch?v=0vp3c3eOPuQ,279,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,DUgKdOFozzU,How to Survive an Asteroid Impact,https://www.youtube.com/watch?v=DUgKdOFozzU,356,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,3argaVh34hs,How to Survive an Opening Sinkhole,https://www.youtube.com/watch?v=3argaVh34hs,315,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,Jcz1G5b33KQ,How to Survive Falling Into Quicksand,https://www.youtube.com/watch?v=Jcz1G5b33KQ,337,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,rV1iqRD9EKY,How to Survive a Flood,https://www.youtube.com/watch?v=rV1iqRD9EKY,379,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,yNWlDo-FrX4,How to Survive a Pyroclastic Flow,https://www.youtube.com/watch?v=yNWlDo-FrX4,354,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,UD35fHCQ95c,How to Survive Walking on Lava,https://www.youtube.com/watch?v=UD35fHCQ95c,218,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,p8P1J9sbRGM,How to Survive the Biggest Wave,https://www.youtube.com/watch?v=p8P1J9sbRGM,380,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,9j_StYqR_Pg,How to Survive a Landslide,https://www.youtube.com/watch?v=9j_StYqR_Pg,314,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,8uDl7mLcK3Y,"How to Survive a Flood, According to Science",https://www.youtube.com/watch?v=8uDl7mLcK3Y,305,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,33or_ICE458,"How to Survive a Meteor Strike,  According To Science",https://www.youtube.com/watch?v=33or_ICE458,235,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,GAiw8PexsOU,"How to Survive a Fire, According to Science",https://www.youtube.com/watch?v=GAiw8PexsOU,271,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,ter31IGeXzs,"How to Survive a Heat Wave, According to Science",https://www.youtube.com/watch?v=ter31IGeXzs,244,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,F3tUsSMaHJQ,"How to Survive an Earthquake,  According To Science",https://www.youtube.com/watch?v=F3tUsSMaHJQ,237,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,TqZ3M7xh8jM,"How to Survive a Hurricane, According to Science",https://www.youtube.com/watch?v=TqZ3M7xh8jM,279,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,VOHG_U1Lcvs,How to Survive a Mudslide,https://www.youtube.com/watch?v=VOHG_U1Lcvs,281,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,JhSQfCuqtg4,How to Survive a Tree Falling on Your House,https://www.youtube.com/watch?v=JhSQfCuqtg4,266,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,p3DC35f7cNY,Never Visit These Abandoned Places!,https://www.youtube.com/watch?v=p3DC35f7cNY,504,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,qPln1YYzLhQ,How to Survive Being Sucked Into a Whirlpool,https://www.youtube.com/watch?v=qPln1YYzLhQ,291,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,CizgVZHj8G4,The Worst Things To Do in a Tsunami,https://www.youtube.com/watch?v=CizgVZHj8G4,373,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,IMmUNuzsdUE,The Worst Things To Do in an Earthquake,https://www.youtube.com/watch?v=IMmUNuzsdUE,261,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,wlbUPNWKwdk,How to Survive Being Trapped in a Mine,https://www.youtube.com/watch?v=wlbUPNWKwdk,377,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,UBi2tvebStI,How to Survive a Heat Wave,https://www.youtube.com/watch?v=UBi2tvebStI,373,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,lOx9hFxY61A,How to Survive the World’s Deadliest Quicksand Pits,https://www.youtube.com/watch?v=lOx9hFxY61A,310,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,qzld419LP_4,How to Survive Falling Through Ice,https://www.youtube.com/watch?v=qzld419LP_4,350,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,tXTS_j6Kyl0,How to Survive Being Lost in the Andes Mountains,https://www.youtube.com/watch?v=tXTS_j6Kyl0,359,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,Bqqr5BSVtsE,How to Survive The Most Dangerous Hikes in the World,https://www.youtube.com/watch?v=Bqqr5BSVtsE,470,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,i6kXSlh5DJ0,How to Survive a Supervolcano,https://www.youtube.com/watch?v=i6kXSlh5DJ0,270,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,z2MI_O8H_NI,How to Survive the Toxic Desert,https://www.youtube.com/watch?v=z2MI_O8H_NI,316,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,yjDrpVvpJMM,How To Escape Quicksand,https://www.youtube.com/watch?v=yjDrpVvpJMM,348,FALSE,TRUE
https://www.youtube.com/playlist?list=PLSG9IRx05GOlqnHGUm2bYVi2KPXYC_lTg,I2RWJDKw_rs,The True Scale of Tsunamis,https://www.youtube.com/watch?v=I2RWJDKw_rs,550,FALSE,TRUE
